1806	193	7	38.07
106	804	18	8.32
1626	197	4	14.62
125	566	23	62.79
1385	12	17	10.29
474	503	3	9.17
464	12	48	25.53
220	141	13	8.62
106	752	18	6.67
926	194	4	9.61
119	117	133	38.89
146	1556	11	50.4
1942	176	3	8.19
453	1118	3	13.31
405	1891	3	16.13
104	4552	5	9.86
175	449	5	7.33
119	226	29	18.45
109	3649	5	10.71
104	2565	8	7.64
1600	172	3	6.7
14	115	938	36.19
2211	477	12	128.19
3178	122	4	11.22
1049	165	4	7.95
374	180	6	7.67
149	775	5	6.8
234	1559	3	10.73
3041	58	3	14.01
2549	102	10	17.35
4	1155	8	29.09
7704	109	3	11.03
560	303	5	17.91
853	1059	4	25.8
255	603	3	7.26
14	283	91	14.38
588	270	7	27.52
173	2031	3	8.41
698	444	3	10.45
1520	2102	5	48.11
115	432	14	10.17
1583	368	3	14.98
722	602	3	13.18
252	542	4	9.28
222	185	10	9.75
204	161	11	7.82
7569	108	3	10.49
180	549	7	15.11
258	200	7	8.46
110	7072	3	11.28
4293	103	6	11.11
1411	157	4	9.64
1461	812	5	37.41
3750	8	3	10.79
282	8507	3	28.03
204	108	49	15.25
115	476	16	16.33
5954	118	3	14.84
1295	1325	4	31.07
178	5604	4	29.45
106	8355	3	6.93
271	248	10	27.57
138	2836	3	8.75
202	7823	3	24.57
182	2000	4	14.51
205	907	28	234.81
645	507	3	10.9
138	2657	3	7.29
582	170	8	19.74
105	478	33	14.66
4506	166	3	15.04
271	16	12	11.88
135	2	48	27.48
491	153	13	32.8
2939	108	5	6.65
609	538	3	10.96
368	893	3	11.73
414	7274	3	31.38
8209	106	3	6.93
264	1913	3	12.99
512	204	6	14.42
125	6156	3	15.83
955	583	9	76.45
7708	239	3	26.17
129	4298	3	8.87
186	1732	3	8.38
8097	331	3	29.4
457	302	5	15.5
4445	1383	3	31.37
762	125	8	8.62
3916	103	6	11.11
436	159	6	7.22
300	487	3	6.64
5353	106	3	6.93
120	3507	5	16.92
8	3712	3	9.64
214	4337	6	50.47
3533	123	4	11.43
1247	613	4	24.47
688	371	3	10.11
157	234	12	11.25
585	407	3	9.49
132	359	13	20.59
1403	341	3	13.63
131	1271	5	8.08
1535	241	3	10.96
3523	377	4	32.54
202	1042	3	6.74
118	2863	5	13.07
2203	288	3	15.23
231	2622	4	21.38
106	8217	3	6.93
1513	3233	4	40.44
