1131	159	2
30761	9443	12
12	132	24
101	3137	3
148	6057	19
118	2053	3
103	4196	9
1148	7166	23
933	9087	2
567	2747	2
3824	4601	7
117	5378	10
57	4144	6
138	8181	2
30269	8374	20
337	3949	13
141	1261	8
12	5255	4
20175	3410	1
4018	6380	30
7765	765	15
286	3085	0
760	526	26
14	1838	28
101	1220	12
2970	9750	16
6920	6317	33
139	7421	2
118	930	16
1580	8410	48
515	3749	21
31892	9693	11
36241	301	21
1797	9544	20
16	6329	2
106	7825	4
6339	216	17
109	984	23
104	7207	4
7317	5858	11
19732	7696	23
14367	6364	16
9700	4450	0
721	9920	1
18452	1056	14
101	7946	11
27020	1299	13
506	8084	5
106	2706	24
246	1132	24
2600	5722	13
109	9788	16
104	9070	14
306	1034	13
710	6139	17
1274	1403	9
875	1143	18
555	9805	14
287	2927	8
115	7660	16
509	3451	24
102	3022	8
973	3558	16
8	9163	15
2011	9169	10
110	6168	23
11733	5214	9
246	3304	3
108	2872	10
101	9833	11
34275	2165	7
151	6676	3
12611	7008	25
25239	1273	1
14	6615	32
116	4154	34
104	7619	12
26150	7575	8
7738	5345	13
7314	3114	35
103	8104	6
101	5092	24
383	2458	19
9689	4455	0
14	8681	19
2617	4185	3
101	7918	3
5118	7772	7
372	450	22
178	8748	0
7	5079	9
2851	1090	7
3930	2052	15
392	2371	13
667	9346	26
4713	4267	7
5075	6136	19
33274	194	22
136	9695	11
179	8134	12
186	662	18
102	1511	27
57	9660	1
12	133	12
12404	2196	16
105	3820	2
222	6735	34
565	2384	6
114	902	11
105	4714	17
11811	8166	16
16595	4631	21
789	7871	19
109	286	3
12	8879	9
260	3225	3
108	6259	2
180	1765	23
232	806	0
1234	3591	8
120	8933	7
203	6300	18
110	4123	14
455	2355	6
16654	7068	1
7904	9410	12
3946	1966	9
371	6438	17
1083	9124	25
14	8581	9
14	7309	21
146	7213	20
1864	1856	14
105	2953	26
102	1293	23
233	6405	7
4311	2851	6
366	2354	14
5414	7283	2
104	297	5
22236	6486	20
106	5597	15
1016	2314	24
101	4140	8
12674	4547	3
6546	4730	6
148	5954	11
811	1028	3
291	6507	13
103	9313	8
105	8608	6
15681	200	14
189	2992	7
558	4102	10
9826	6749	12
8375	3473	1
83	1479	2
145	9288	12
102	1994	23
2180	9810	4
3225	1073	19
107	8982	6
177	7544	16
14	7511	36
3544	9646	16
12	845	28
117	813	14
121	7032	25
106	5310	5
7	5975	13
5412	3626	0
132	6605	1
30508	1823	12
3069	3090	10
183	3717	7
482	7848	4
738	1292	3
945	627	12
101	9411	5
7152	8224	5
1463	7991	17
2597	9262	26
109	8445	2
150	4851	17
12413	1358	29
8819	9955	20
4667	4472	29
147	6	25
326	8444	3
607	5617	1
501	3631	11
114	4711	13
14	2057	11
1402	90	25
26229	6377	5
14	8110	29
1634	5421	4
31148	2347	20
13442	7657	7
2914	9777	15
26910	2931	10
386	9851	9
161	5845	16
3533	5403	28
694	8095	21
119	7459	19
415	266	6
104	873	7
13029	4573	9
3212	9767	11
103	9446	10
14	1988	16
749	9880	6
640	8635	13
132	3821	21
237	1313	25
36146	3164	31
3324	5037	30
228	8823	10
7779	8475	17
14	942	24
4714	6758	22
9701	1667	16
2138	2057	9
105	781	1
917	8537	9
205	978	24
6476	5634	5
1806	1685	4
119	7742	34
1737	2795	10
14	2153	16
103	1578	2
11448	931	3
108	6719	1
101	162	5
2	9560	3
1920	2158	6
106	1363	2
4836	7568	1
295	6363	3
2464	5696	24
104	6028	22
109	5392	10
202	5631	26
175	2837	15
32944	7634	1
101	6571	2
36623	4199	23
112	9685	18
106	3123	17
101	2498	22
8260	5645	5
123	4499	21
5930	1400	10
1267	9295	24
1701	753	23
134	9450	8
152	8664	4
9441	6046	6
404	8468	8
134	392	25
1176	153	15
155	2556	7
12	1573	17
104	328	10
24906	6430	0
176	9431	1
234	4015	7
6011	5261	3
112	2966	6
14	8768	12
2894	9977	10
27740	2978	12
12	5608	15
12	6407	8
122	342	11
9	4374	27
101	1102	27
146	8353	27
3789	7315	4
4187	3237	5
229	2361	1
184	259	15
919	1847	5
106	5656	10
105	4421	24
16	3411	3
170	9231	11
14644	8345	21
1113	7604	5
101	9829	10
156	1847	4
36409	6556	10
481	5488	25
595	4128	0
17957	9896	6
121	4442	13
6935	1130	25
14	8769	24
1659	3101	8
1547	8031	0
733	8634	26
103	5828	20
407	725	22
9946	943	21
1141	174	21
177	280	14
4024	7455	31
905	3007	3
122	3165	4
104	8838	7
24152	1882	4
171	3774	0
114	1667	8
576	4323	31
996	9003	18
13120	4403	4
3022	7925	1
101	2208	8
13425	1291	18
5698	34	10
125	8799	25
214	3234	7
441	377	3
2	9561	23
6244	4611	4
2393	7012	20
149	1182	14
12	2984	8
1550	1374	7
6105	9705	4
107	9977	9
454	634	4
902	5986	12
102	4684	12
1283	643	16
4315	2691	14
723	5000	11
240	6713	19
745	7679	4
239	6226	25
101	5445	17
110	8213	8
162	5941	5
1989	5336	3
14	7378	35
57	3259	0
120	9141	33
5180	4767	17
124	1040	7
104	4610	22
12	813	7
12	7758	8
11143	6810	8
105	9985	15
9368	8631	9
116	9582	17
2669	8002	8
14685	2224	11
31463	4840	18
108	2300	27
5158	9010	7
1387	8504	11
12	2278	14
10628	9107	0
206	8250	8
119	4545	1
138	5590	2
113	9540	13
3338	1669	0
1853	6250	2
101	8226	14
158	3984	11
110	2548	4
106	5172	18
101	7466	18
3219	8103	26
101	428	1
5318	1241	28
320	9602	19
276	2777	1
111	7096	0
2115	7283	13
16834	4580	31
395	6781	24
124	6717	14
31380	4960	33
331	3141	11
143	9960	24
105	5728	2
103	1507	6
120	6211	2
26584	9092	22
14	6700	28
9438	5493	1
1116	598	12
110	8604	14
103	9123	11
103	9325	9
393	3499	14
23633	8812	19
131	3246	5
101	7688	14
1886	9277	8
57	2237	18
127	181	12
12	8334	4
159	3999	24
2593	2629	20
21921	4261	9
101	1793	9
101	6754	6
103	1954	16
101	207	11
105	5572	8
121	8626	6
101	7241	24
109	7196	3
1963	3277	10
226	1302	22
122	3411	0
569	2604	15
102	1570	30
14	6046	40
17564	6046	30
858	3082	38
106	5874	6
32113	208	6
165	6443	16
693	4575	21
103	3779	23
131	4137	2
13659	1	0
3566	211	30
180	4387	14
14	4329	17
1809	8786	1
385	1656	29
108	7737	19
5290	7721	34
111	7409	0
15639	669	0
111	8220	0
6899	4732	0
14	3630	20
468	8395	24
23462	5153	9
4591	9042	0
14	4043	8
101	7240	12
20647	1364	19
137	9527	1
236	8235	15
17080	5124	11
120	8480	2
114	9282	21
1611	4999	30
3950	2001	4
101	5195	21
172	2781	0
161	741	32
114	7053	9
151	8186	24
8537	1703	16
9883	7135	44
114	8523	23
227	3220	21
5478	9432	45
1253	6413	9
251	324	8
111	7734	0
107	1080	20
990	9020	27
113	4074	19
149	3349	5
689	9871	36
17206	5639	6
33968	1368	8
12	2306	6
357	901	17
104	6189	23
135	6555	8
1543	4990	16
103	235	16
1721	778	9
4986	8650	8
101	6885	4
131	8940	5
218	6824	12
104	7239	31
12	3432	14
161	3314	10
109	1427	18
368	7018	39
103	9858	27
312	3295	18
27773	7425	15
165	5930	17
106	6387	7
102	6218	11
642	9125	27
27098	9103	0
104	9896	7
674	567	6
1200	6124	1
522	6970	1
316	8547	16
230	8588	0
115	8365	17
452	597	25
115	3532	25
764	9206	18
27486	5090	6
244	6878	2
13506	1981	12
12	3527	30
16195	9757	9
103	8650	15
7858	912	22
567	9846	11
3825	5302	11
108	8380	3
101	231	25
21	9755	7
252	6344	3
117	8839	18
623	191	23
24107	7261	14
107	5403	12
6350	7746	14
180	1864	2
583	7155	6
790	4157	13
1693	6954	8
11781	6194	19
14	7215	16
14	7626	12
960	2049	2
106	7674	5
5797	4823	8
1568	2334	12
114	3205	15
767	1974	0
102	9669	21
988	753	19
157	2772	9
171	3545	0
36635	1782	38
18953	6369	11
209	2462	47
2896	53	3
20842	1626	29
779	6128	8
1005	7164	0
3070	9560	11
28093	8149	5
158	6525	17
14	6212	12
101	1832	15
154	1016	19
13019	1229	3
8199	9233	2
3386	5021	0
1131	883	1
35656	4306	10
104	971	2
809	2753	15
125	9081	15
116	7906	3
13017	4853	14
12158	6273	12
1568	9627	12
7486	9653	9
116	7205	3
16705	150	9
151	3578	8
5061	3093	29
20358	672	10
6139	421	28
2210	9891	29
11795	7516	39
676	5755	20
248	485	31
37473	4629	25
106	8592	7
6708	202	17
133	6410	22
101	2304	8
7540	4508	17
874	5529	15
4440	7524	5
13146	5760	37
26472	8129	0
104	8998	7
57	9943	0
12	1056	15
116	1478	8
1538	6892	20
542	4739	16
102	7100	34
11767	8988	13
14	289	17
3705	9095	2
10099	2669	8
33527	5306	16
180	1829	12
378	2284	23
2908	4909	11
16862	8431	7
9123	1914	14
445	589	3
3946	1889	2
635	3959	15
4317	8319	5
439	8913	6
806	1695	24
557	286	34
123	1117	7
2925	342	10
121	2749	12
10021	1112	8
1287	521	15
7932	111	22
2075	8983	33
630	7209	1
149	1648	8
18492	2039	0
1186	9525	8
4252	8944	18
182	9345	0
14	66	27
214	9443	11
107	779	37
133	9611	12
277	7354	17
106	2742	11
125	1078	18
12	9830	16
115	9060	21
5731	6454	2
873	8021	10
237	8908	1
37888	6891	7
124	3060	26
152	860	5
135	9878	10
14	863	42
126	7962	5
32530	5276	1
110	8955	14
227	6355	1
5064	2680	5
105	1163	10
2090	6983	7
3647	3781	9
465	7622	16
104	1291	4
300	168	1
150	9237	3
2101	9331	6
3339	8210	34
10821	1615	5
4149	848	3
7087	7305	37
12	5156	21
13558	1169	1
13070	55	31
2	8312	7
903	512	20
1250	4335	25
897	7140	16
172	2941	0
14	3401	20
35175	9764	2
110	6007	9
4062	3316	30
12	2787	16
102	2127	5
6105	9068	30
107	8316	19
158	4052	3
292	4991	10
106	1532	18
4399	7471	2
86	4525	6
184	1344	1
405	3419	10
726	9606	19
419	7188	9
101	8865	6
300	2794	14
190	1659	16
6902	5753	8
1951	763	13
102	1639	2
5470	4980	12
105	8780	5
5449	4628	0
1302	8345	1
6567	4525	11
954	7975	13
3284	6524	10
101	8453	12
20975	81	5
