1626	197	4	38.42
1385	12	6	14.95
101	3306	3	8.15
2388	107	3	15.24
392	113	3	7.03
220	141	3	8.12
119	117	24	45.44
926	194	3	22.88
104	4552	5	37.7
2549	102	7	38.85
101	2020	6	19.23
151	175	8	31.25
12	4402	3	12.19
101	1937	3	4.77
115	476	5	19.99
105	359	7	10.91
105	478	4	4.34
414	7274	3	48.97
101	816	7	11.4
203	133	7	26.44
512	204	6	48.95
1653	14	3	4.68
1249	105	3	6.56
102	3067	3	11.5
122	1829	3	18.35
120	3507	3	23.31
1247	613	4	48.16
132	359	6	30.96
118	2863	4	31.21
5011	102	3	15.19
101	2458	3	6.14
1855	119	3	18.21
114	150	11	18.44
112	363	3	5.93
262	147	3	10.47
1788	12	6	18.1
234	122	4	9.46
1084	104	3	5.3
102	201	79	338.53
234	176	3	11.95
151	3940	3	29.77
661	102	28	155.51
674	12	7	9.9
2412	102	3	9.35
1554	125	3	18.14
142	185	5	14.62
427	103	8	14.91
208	101	17	8.92
1767	137	7	65.12
118	151	8	12.95
104	1647	3	7.78
142	225	4	13.34
132	118	26	78.86
2641	103	3	10.53
616	144	3	15.83
414	14	9	10.22
12	2634	5	17.82
147	151	4	7.23
170	105	13	6.63
2545	14	4	12.4
2893	101	4	12.45
449	14	6	4.04
2422	12	5	16.61
101	3409	5	22.23
2808	102	3	10.68
106	1059	4	10.79
184	413	4	25.21
104	2224	3	9.54
12	628	7	9.31
102	1222	3	5.31
1108	109	6	30.47
191	109	5	4.17
1512	102	4	10.77
210	797	3	23.09
3877	240	3	36.18
102	1266	6	19.31
3041	6594	3	62.41
172	119	35	177.06
122	242	3	5.79
9	138	6	10.39
768	167	3	19.57
842	806	3	33.18
438	117	3	9.2
2606	104	3	10.73
120	277	3	6.81
144	159	9	32.77
1681	101	3	4.07
1330	14	4	6.7
1199	622	3	33.86
137	441	4	20.14
102	1083	4	8.23
195	144	3	7.03
101	2716	3	7.37
862	107	4	14.23
1034	12	5	7.66
101	482	7	5.7
104	1139	4	9.79
108	793	4	13.77
6850	12	3	18.74
139	764	4	24.3
101	231	63	203.92
12	4167	3	10.69
1208	107	8	46.04
336	113	3	6.27
101	160	140	467.19
487	104	5	6.82
903	102	5	10.98
1481	105	3	7.44
260	196	9	64.51
123	137	164	1254.83
690	121	3	12.33
1193	14	4	6.03
877	106	3	5.49
103	556	7	14.94
947	125	3	14.99
255	106	14	30.79
3123	157	3	28.41
190	246	3	13.79
155	120	30	130.52
912	106	5	14.22
104	3142	3	12.27
134	556	3	14.01
293	2194	5	61.63
141	1398	4	29.62
3285	107	3	17.48
236	12	16	13.06
4888	102	3	15.19
236	3053	3	33.82
416	513	7	74.21
103	1268	3	6.05
4153	12	5	25.91
1903	12	4	9.13
126	212	3	5.43
149	126	6	8.62
130	319	3	9.79
830	105	7	21.14
448	101	10	12.48
412	139	4	19.63
105	1092	3	5.62
111	671	4	14.24
1166	14	23	145.77
136	5184	3	29.89
133	120	32	113.48
2640	105	3	11.09
198	103	9	3.97
101	204	37	60.37
4569	153	4	46.34
6519	14	3	19.01
573	110	3	7.5
207	14	16	9.37
103	452	5	5.98
2189	12	4	10.43
950	12	5	7.03
1341	149	3	20.95
12	1450	3	3.87
1194	596	7	92.73
125	2028	6	49.9
447	135	4	19.62
359	115	15	86.37
102	864	7	19.54
158	157	3	6.11
382	121	9	47.04
1889	14	3	5.4
344	476	6	58.55
109	218	7	12.48
242	120	8	28.77
106	4723	5	40
1496	105	3	7.44
259	153	4	17.25
691	101	5	4.05
1149	12	5	8.77
2898	102	5	24.21
2387	3177	3	49.52
144	149	7	18.41
1134	136	3	18.62
307	115	3	6.68
102	4132	3	13.66
131	162	3	3.92
151	513	5	30.94
1041	1886	10	167.83
321	322	3	22.03
102	1325	7	25.71
107	105	168	217.43
380	14	22	59.19
175	185	4	14.04
1597	112	4	21.31
509	129	6	32.67
1227	101	7	16.52
654	112	5	19.95
6123	177	3	35.83
2865	106	3	12.76
1230	139	3	19.33
101	2174	4	9.83
114	350	6	21.65
101	4273	3	10.22
1207	109	3	11.37
230	140	4	13.61
102	4767	5	36.36
1728	12	3	4.81
343	128	3	9.95
21	62	5	34.48
101	908	6	9.17
7914	104	3	22.62
108	140	44	131.78
734	12	8	14.35
334	1162	9	113.13
1365	149	6	51.25
117	825	6	34.19
1465	102	9	40.99
101	711	12	28.8
109	984	4	15.84
101	651	16	45.82
855	519	4	43.6
257	130	3	7.93
150	104	123	460.67
203	117	4	6.85
2326	110	4	24.17
482	14	9	12.52
102	234	8	4.37
887	105	3	4.68
251	101	21	26.41
162	740	3	19.29
1711	14	5	12.75
57	678	6	28.12
103	1013	3	4.92
101	2551	3	6.71
1382	455	5	60.95
725	112	3	9.57
105	4807	3	16.36
102	1506	7	27.44
119	133	8	8.62
143	108	63	241.45
630	14	5	4.37
271	109	15	58.96
384	102	10	19.58
2959	104	3	11.44
3670	1322	3	46.52
111	238	6	12.37
780	102	18	84.78
1836	102	3	7.45
101	1985	4	9.16
110	1077	3	10.87
121	244	6	19.09
101	2105	5	13.87
298	101	45	157.41
1270	105	4	10.96
281	105	13	26.93
4224	114	3	22.82
101	2309	3	6.14
580	2438	4	53.8
101	2377	3	6.14
976	109	4	15.84
1151	104	3	5.74
1756	102	9	45.59
847	12	5	6.18
356	149	7	42.77
883	127	3	15.16
2911	104	5	25.52
102	5969	4	29.09
131	226	9	40.9
1789	102	3	7.45
793	102	4	6.26
115	6410	3	27.19
115	316	5	16.16
106	2313	3	11.4
5010	12	3	12.19
104	920	3	4.54
2025	104	5	20.75
138	210	3	7.61
1538	103	3	7.24
328	101	22	46.49
191	133	3	5.75
3913	14	3	10.95
1663	14	4	8.38
156	108	12	15.58
613	6571	3	51.38
106	889	12	56.3
101	5503	4	24.32
948	101	6	9.55
12	810	9	20.26
12	6752	3	18.74
112	1156	3	12.22
102	1553	7	28.41
3763	14	3	10.95
143	118	13	28.41
119	16	89	562.5
575	106	6	14.1
135	254	9	45.73
271	117	4	10.28
675	102	37	253.62
1159	109	4	17.17
1648	12	5	12.35
278	140	4	16.06
1523	102	4	10.77
105	1168	4	10.24
579	12	8	11.49
1285	104	3	6.23
139	127	5	5.18
106	3392	3	14.58
1596	149	5	42.46
568	102	7	14.04
101	630	11	22.15
105	3969	3	14.81
123	593	6	31.93
7002	106	3	24
102	116	299	1021.02
101	2632	7	30.65
1536	2320	3	44.26
4029	101	5	25.1
101	4483	4	19.42
3745	850	7	125.34
106	3766	3	15.79
355	161	3	14.94
1553	101	5	10.98
989	12	9	23.47
125	1743	5	37.46
326	126	4	14.17
189	149	4	11.65
225	1043	4	36.06
118	2212	3	19.23
101	5061	3	11.71
834	115	3	12.06
1453	104	7	29.24
106	193	40	126.45
120	347	5	18.99
120	406	10	54.86
1488	104	3	7.1
1035	102	4	7.94
484	105	6	10.62
377	110	9	34.67
169	123	7	14.84
4714	112	4	34.69
101	1395	7	18.74
130	277	4	13.7
2233	103	4	14.99
253	103	8	6.57
1937	14	5	14.2
105	965	7	23.64
223	556	3	21.58
106	2746	3	12.76
242	106	7	6.18
1183	14	7	17.46
9	14	73	80.23
159	252	4	18.06
152	103	16	5.4
152	164	3	6.03
479	324	3	24.35
105	650	8	22.71
116	354	4	12.89
105	710	10	34.68
311	3591	4	53.5
232	265	4	25.19
143	991	3	18.43
12	158	39	33.49
12	57	83	9.52
156	661	3	17.62
102	1636	4	11.74
102	7820	3	21.82
249	12	27	49.1
4985	109	3	21.88
2066	107	4	21.42
137	1105	5	36.79
871	12	19	80.26
554	152	4	24.12
195	126	6	15.65
103	128	31	11.71
569	117	9	52.58
105	3204	3	12.63
102	1045	4	7.94
277	106	10	18.67
140	137	10	28.2
3663	101	3	9.07
105	2102	7	35.99
400	101	14	22.8
2049	114	4	25.52
1006	14	7	15.7
111	3592	3	20.14
107	1968	6	38.15
1994	1883	3	44.4
214	144	13	73.49
105	3307	3	12.63
113	181	7	10.72
136	366	4	18.57
2403	110	3	16.09
103	183	12	5.82
462	548	3	27.3
491	1806	6	80.29
101	532	15	34.19
1366	132	4	27.77
558	559	6	66.44
101	481	7	5.52
330	338	3	22.5
101	362	61	318.43
140	219	3	8.06
105	601	4	5.76
111	1030	3	11.38
122	291	5	17.5
102	5680	3	17.37
101	1243	9	26.24
101	1303	9	27.23
104	394	9	18.2
159	158	4	10.84
580	1568	4	49.67
101	1123	6	11.26
104	573	4	5.08
6138	104	3	18.17
110	126	19	18.06
101	1199	8	21.18
186	128	3	4.18
1805	105	3	8.51
504	121	7	36.67
102	7815	3	21.82
1786	101	3	4.41
3261	106	3	13.6
125	690	3	13.14
155	407	5	29.94
5865	14	3	14.59
201	129	3	5.35
201	198	8	48.59
8	701	3	15.39
116	318	3	7.41
101	1456	10	36.87
110	367	38	273.41
169	136	7	21.65
130	119	84	431.67
334	1808	5	60.58
117	113	99	389.93
1163	12	5	8.77
122	1188	3	15.61
1051	12	4	4.89
101	280	51	180.63
3788	110	6	57.72
6752	14	3	19.01
2428	101	3	6.14
103	533	4	4.34
933	103	3	4.55
189	106	13	14.05
102	4990	3	15.19
381	103	11	25.36
114	132	8	5.53
57	768	9	52.34
2875	12	3	7.82
699	113	3	10.02
627	12	9	15.94
179	209	8	44.74
4085	104	3	14.44
4441	104	5	37.7
112	548	4	12.92
102	272	9	9.54
119	109	47	92.47
184	122	9	25.75
3445	102	3	12.47
184	176	5	19.69
101	5411	3	13.84
468	102	7	11.54
102	1400	3	6.1
445	124	6	28.53
1634	1159	3	39.74
489	12	8	9.04
896	195	5	43.37
127	1573	3	18.74
367	14	8	6.59
271	133	3	9.31
102	3757	4	19.69
105	350	16	48.87
116	654	3	11.32
147	131	5	7.75
121	514	3	10.72
1714	103	6	24.13
147	199	8	35.57
514	1843	3	35.75
106	4319	3	15.79
57	3641	7	71.02
472	241	4	30.96
170	175	5	18.05
1318	101	10	34.07
117	1705	4	25.33
106	1054	3	6.46
4720	104	3	15.98
101	3492	7	42.57
101	3432	3	9.07
108	3931	3	19.95
105	5146	3	16.36
191	117	7	16.64
2351	104	4	16.07
878	132	5	32.74
325	174	5	30.11
234	413	3	20.36
123	1017	4	22.29
118	131	38	143.27
219	105	15	23.57
101	938	16	60.25
502	14	6	4.94
6170	14	3	14.59
111	1207	4	18.92
378	1508	3	32.28
688	153	3	17.62
342	4544	5	79.95
120	210	4	7.65
754	144	3	16.94
101	4111	3	10.22
12	142	60	58.23
1517	14	5	11.53
1934	101	6	18.15
106	426	6	10.81
105	668	5	9.95
1160	104	3	5.74
101	1306	4	5.54
402	265	3	21.59
104	512	7	14.04
2276	732	3	38.85
252	739	3	24.55
1744	12	3	4.81
2150	132	12	143.3
438	102	7	10.71
5593	104	3	18.17
1413	12	5	10.59
177	135	17	81.77
116	1225	3	14.94
2667	102	4	15.95
256	254	3	17.46
117	369	7	31.12
101	466	7	5.34
101	541	9	12.22
112	604	3	8.56
178	108	71	372.45
844	106	31	248.19
101	2776	4	12.45
106	1198	4	11.8
195	131	14	67.28
102	640	4	4.85
369	120	4	13.9
1794	14	3	5.03
690	106	9	31.47
206	101	19	11.7
101	2911	3	7.37
136	227	3	8.19
57	321	3	5.87
101	3031	3	8.15
129	505	3	12.13
785	103	5	10.63
709	112	3	9.41
350	114	8	33.46
189	166	3	8.96
117	127	29	80.33
5251	12	3	14.33
1152	109	5	23.85
133	147	17	64.69
2259	109	6	40.62
109	569	6	22.48
267	224	3	16.65
122	360	3	9.02
592	901	14	202.29
122	479	7	36.37
697	102	12	41.27
140	1299	3	19.66
718	12	10	22.27
106	3027	3	13.6
236	115	4	7.75
1063	105	5	14.19
1228	116	8	57.43
105	4194	3	14.81
1736	125	11	106.99
101	5724	4	24.32
106	179	22	35.24
103	1235	3	5.8
1060	144	3	19.03
1587	2969	3	45.69
115	341	3	7.22
2355	112	10	92.54
879	14	7	13.73
2074	106	4	16.28
468	109	3	6.18
2113	12	3	6.05
220	128	5	14.89
2650	1949	3	46.23
12	899	18	74.95
125	522	3	11.64
57	1983	4	24.64
143	136	10	28.88
1826	104	5	19.07
2621	104	5	24.07
1430	104	4	11.3
104	3311	6	36.34
103	930	3	4.55
106	1889	5	22.08
103	878	3	4.21
106	2068	5	22.97
114	265	25	145.26
2067	102	3	8.31
612	194	5	39.29
102	187	15	10.97
102	267	44	181.77
118	435	8	40.71
101	680	25	104.52
118	384	4	13.89
101	620	20	65.67
667	511	3	29.04
257	14	22	36.18
762	110	3	8.9
300	471	6	56.42
116	1993	3	18.33
678	118	3	11.96
436	121	3	9.77
496	101	11	17.25
127	407	4	16.57
109	708	3	8.33
127	348	4	15.53
3095	112	3	19.24
2379	14	3	6.8
132	243	14	80.12
343	101	11	10.85
1459	101	5	10.41
102	4748	4	24.14
261	163	14	102.11
13	143	3	7.87
154	128	4	4.69
261	102	13	19.81
605	104	4	5.36
5226	152	3	31.64
1721	104	3	8.17
103	673	5	9.12
102	585	4	4.42
583	322	33	487.8
128	342	3	9.95
363	109	12	51.2
3741	1168	5	84.09
1487	109	3	12.61
130	2263	3	21.48
3794	104	3	14.44
1487	162	7	68.66
226	102	75	352.05
1688	104	4	12.73
107	276	5	8.81
1115	3746	3	45.35
2745	491	4	54.46
5937	102	4	29.09
2211	12	3	6.05
1923	119	3	18.21
102	1146	3	5.07
1221	14	5	9.56
2802	148	4	37.72
180	114	6	8.49
179	4143	3	32.13
770	101	8	14.1
147	137	48	298.69
609	110	3	7.75
170	120	4	4.37
1809	105	8	40.92
105	164	99	401.69
237	198	4	21.04
378	101	8	5.42
122	615	8	48.12
170	281	3	13.48
116	1080	4	21.26
3384	103	3	13.04
102	1129	3	4.85
107	229	7	12.56
1064	103	6	18.18
12	807	12	33.59
308	106	6	7.76
539	380	5	49.08
307	12	34	104.53
951	829	3	34.02
118	1563	3	16.93
7962	107	3	27.97
266	113	10	37.3
976	102	4	7.67
105	1486	4	12.21
1883	12	3	5.18
316	163	3	14.3
102	419	12	29.41
106	1725	4	15.01
1693	121	3	17.7
154	114	7	7.99
105	6076	4	30.67
1900	14	4	9.45
4126	14	3	10.95
57	814	4	16.81
1244	14	5	9.56
320	14	8	4.87
139	113	39	136.14
157	138	11	40.48
1393	104	3	6.79
681	1284	3	34.78
568	109	5	16.92
366	115	4	12.36
101	771	7	10.64
101	635	6	5.78
105	510	4	4.68
110	957	3	10.41
1159	102	4	8.85
836	104	24	145.44
151	149	6	15.51
166	129	9	26.07
977	146	4	27.23
1933	14	3	5.4
2008	106	3	10.32
290	14	10	7.45
209	106	18	36.54
143	123	12	26.91
1201	105	8	33.11
104	105	182	47.62
130	190	6	16.91
484	106	9	25.34
101	1458	4	6.63
1556	129	6	47.33
181	185	5	20.15
